https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1554854400000,2019-04-10 00:00:00,BTC/USDC,5187,5458,5168.51261913,5320.91957381,1838358.03656587,345.94761419,0,0,0,5313.97807402
1554768000000,2019-04-09 00:00:00,BTC/USDC,5289.99999989,5289.99999989,5148.39105203,5198.04737003,1149353.25258974,220.46848189,0,0,0,5213.23158184
1554681600000,2019-04-08 00:00:00,BTC/USDC,5200.5281686,5340,5138.55024274,5289.99999989,2059140.48206894,393.61338099,0,0,0,5231.37825469
1554595200000,2019-04-07 00:00:00,BTC/USDC,5043.50268919,5260,5029.27074773,5200.83729622,974355.51400688,189.42387214,0,0,0,5143.7841651
1554508800000,2019-04-06 00:00:00,BTC/USDC,5030,5234.88,4912.60849463,5035.3530575,1754774.65354724,344.69042617,0,0,0,5090.87146122
1554422400000,2019-04-05 00:00:00,BTC/USDC,4920,5060.11434863,4888.71638383,5030,1265077.26704259,253.52037584,0,0,0,4990.0417781
1554336000000,2019-04-04 00:00:00,BTC/USDC,4952.2208831,5069.00000001,4792.5,4894.6582338,3091101.77676851,623.15116901,0,0,0,4960.43645666
1554249600000,2019-04-03 00:00:00,BTC/USDC,4909.67933111,5340.81926901,4800.00000002,4980.48915229,6503714.39557675,1287.22113669,0,0,0,5052.52299717
1554163200000,2019-04-02 00:00:00,BTC/USDC,4135,4941.53993092,4135,4903.30386661,5338769.57140093,1148.50778952,0,0,0,4648.4400194
1554076800000,2019-04-01 00:00:00,BTC/USDC,4096.97682806,4153.44032968,4052.86413511,4135,592000.37184015,143.54447122,0,0,0,4124.16003771
1553990400000,2019-03-31 00:00:00,BTC/USDC,4090.04515736,4104.81898389,4072.99902182,4090,249731.10659127,61.02297254,0,0,0,4092.41136897
1553904000000,2019-03-30 00:00:00,BTC/USDC,4084.33694097,4126.355505,4038.55873017,4090.03667949,482441.96111965,118.18197783,0,0,0,4082.19569496
