https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1651410000000,2022-05-01 13:00:00,BTC/USD,37966.07,39163.11,37687.9,38492.39,676.3280656,26033483.669020783
1651377600000,2022-05-01 04:00:00,BTC/USD,38045.62,38800.0,37687.9,38666.89,413.72171348,15997331.985742677
1651323600000,2022-04-30 13:00:00,BTC/USD,38547.1,38659.82,37412.54,37966.07,506.78598675,19240672.24796957
1651291200000,2022-04-30 04:00:00,BTC/USD,38659.72,38757.48,37412.54,38045.62,484.93138064,18449515.0339048
1651237200000,2022-04-29 13:00:00,BTC/USD,38914.6,39411.57,38158.9,38547.1,623.83119251,24046883.360802222
1651204800000,2022-04-29 04:00:00,BTC/USD,39514.57,39631.2,38158.9,38659.72,777.29000594,30049813.988438737
1651150800000,2022-04-28 13:00:00,BTC/USD,39539.75,40369.07,38627.56,38914.6,1002.10009334,38996324.29228876
1651118400000,2022-04-28 04:00:00,BTC/USD,39352.25,40369.07,38810.15,39514.57,928.92580157,36706103.610943876
1651064400000,2022-04-27 13:00:00,BTC/USD,38888.19,39889.62,38439.87,39539.75,652.43817385,25797242.284485538
1651032000000,2022-04-27 04:00:00,BTC/USD,38344.79,39700.98,38316.92,39352.25,733.15777013,28851407.859598294
1650978000000,2022-04-26 13:00:00,BTC/USD,40289.49,40345.16,37697.42,38888.19,1345.40125375,52320219.58206822
1650945600000,2022-04-26 04:00:00,BTC/USD,40541.18,40783.69,37697.42,38344.79,1297.57902381,49755395.176399454
1650891600000,2022-04-25 13:00:00,BTC/USD,38815.71,40783.69,38640.02,40289.49,1158.935674,46692927.24826626
1650859200000,2022-04-25 04:00:00,BTC/USD,39260.92,40765.94,38221.87,40541.18,1370.40362847,55557780.1744554
1650805200000,2022-04-24 13:00:00,BTC/USD,39594.54,39933.07,38221.87,38815.71,847.46008789,32894765.00811275
1650772800000,2022-04-24 04:00:00,BTC/USD,39780.94,39933.07,38695.95,39260.92,515.66974224,20245668.49650526
1650718800000,2022-04-23 13:00:00,BTC/USD,39718.39,39988.99,39363.42,39594.54,215.45848629,8530979.653748857
1650686400000,2022-04-23 04:00:00,BTC/USD,39482.0,39988.99,39299.82,39780.94,402.21522707,16000499.815158049
1650632400000,2022-04-22 13:00:00,BTC/USD,40418.75,40619.8,39189.81,39718.39,1048.76994998,41655453.89358614
1650600000000,2022-04-22 04:00:00,BTC/USD,40503.04,40808.91,39189.81,39482.0,1087.66591152,42943225.51863264
1650546000000,2022-04-21 13:00:00,BTC/USD,42692.86,42977.1,39795.91,40418.75,1119.60366806,45252980.75840013
1650513600000,2022-04-21 04:00:00,BTC/USD,41711.06,42977.1,39795.91,40503.04,1106.29753311,44808413.235455655
1650459600000,2022-04-20 13:00:00,BTC/USD,42142.91,42831.05,40904.73,42692.86,776.5611006,33153614.349361718
1650427200000,2022-04-20 04:00:00,BTC/USD,41406.0,42208.16,40904.73,41711.06,703.57157906,29346716.3484664
1650373200000,2022-04-19 13:00:00,BTC/USD,40969.71,42208.16,40858.07,42142.91,742.91476074,31308589.89953736
1650340800000,2022-04-19 04:00:00,BTC/USD,40709.48,41769.06,40590.84,41406.0,651.70821496,26984630.34863376
1650286800000,2022-04-18 13:00:00,BTC/USD,39422.62,41259.01,39055.87,40969.71,1252.80798231,51327179.72092583
1650254400000,2022-04-18 04:00:00,BTC/USD,39837.45,41259.01,38559.19,40709.48,1610.17305762,65549307.885720246
1650200400000,2022-04-17 13:00:00,BTC/USD,40434.12,40589.3,38559.19,39422.62,753.55474088,29707102.19891071
1650168000000,2022-04-17 04:00:00,BTC/USD,40253.71,40589.3,39572.66,39837.45,339.38884026,13520385.954415737
1650114000000,2022-04-16 13:00:00,BTC/USD,40469.61,40689.81,40018.61,40434.12,261.57663464,10576621.034229917
1650081600000,2022-04-16 04:00:00,BTC/USD,40437.47,40689.81,40018.61,40253.71,285.4813666,11491684.141520087
1650027600000,2022-04-15 13:00:00,BTC/USD,40148.58,40840.0,39948.34,40469.61,603.67806682,24430615.929759342
1649995200000,2022-04-15 04:00:00,BTC/USD,40199.81,40840.0,39948.34,40437.47,669.0015564,27052730.36687831
1649941200000,2022-04-14 13:00:00,BTC/USD,41148.61,41324.73,39563.77,40148.58,916.83329193,36809554.76771496
1649908800000,2022-04-14 04:00:00,BTC/USD,41339.6,41424.04,39563.77,40199.81,955.52608979,38411967.25960094
1649854800000,2022-04-13 13:00:00,BTC/USD,39731.63,41550.87,39644.7,41148.61,1023.65951378,42122166.105322845
1649822400000,2022-04-13 04:00:00,BTC/USD,40086.76,41550.87,39644.7,41339.6,1099.90762457,45469741.23667397
1649768400000,2022-04-12 13:00:00,BTC/USD,40620.0,40630.91,39271.84,39731.63,1011.8109948,40200900.07532552
1649736000000,2022-04-12 04:00:00,BTC/USD,39750.0,40692.38,39271.84,40086.76,1304.01017151,52273542.78288021
1649682000000,2022-04-11 13:00:00,BTC/USD,41141.4,41203.58,39215.0,40620.0,1792.32666449,72804309.1115838
1649649600000,2022-04-11 04:00:00,BTC/USD,42096.93,42352.62,39215.0,39750.0,1687.02827294,67059373.849365
1649595600000,2022-04-10 13:00:00,BTC/USD,42589.85,43429.78,40931.76,41141.4,908.58823866,37380592.16200653
1649563200000,2022-04-10 04:00:00,BTC/USD,42810.85,43429.78,41791.97,42096.93,558.36939122,23505637.176330954
1649509200000,2022-04-09 13:00:00,BTC/USD,42520.02,42900.0,42207.93,42589.85,308.04779865,13119709.537333703
1649476800000,2022-04-09 04:00:00,BTC/USD,42400.01,42900.0,42207.93,42810.85,283.05504477,12117827.063391754
1649422800000,2022-04-08 13:00:00,BTC/USD,43164.27,43988.14,42104.92,42520.02,941.88055447,40048780.01367549
1649390400000,2022-04-08 04:00:00,BTC/USD,43627.54,43988.14,42104.92,42400.01,1069.96270566,45366429.41961106
1649336400000,2022-04-07 13:00:00,BTC/USD,43546.77,43973.12,43023.48,43164.27,636.15856911,27459320.2398777
1649304000000,2022-04-07 04:00:00,BTC/USD,43304.16,43891.84,43023.48,43627.54,691.99562208,30190066.68212008
1649250000000,2022-04-06 13:00:00,BTC/USD,44775.37,44975.64,42750.0,43546.77,1668.49868889,72657728.65039438
1649217600000,2022-04-06 04:00:00,BTC/USD,45193.4,45521.16,42750.0,43304.16,1692.66007294,73299222.62420544
